scene_id,tier,renderer,seed,suggested_theme,title,communication_question,stressors
watershed_storm_response,showcase,line,2409,slipware,Storm response across five watershed sites,Can five semantic site identities remain readable through different peak timings and partially overlapping recovery curves?,five-series density; peak timing differences; curve overlap; marker/dash redundancy
circadian_phase_shift,showcase,line,3112,deep_observatory_sage_core,Circadian phase shift,"Can phase shifts, crossings, and a damped waveform remain distinguishable without turning the figure into a color legend exercise?",curve crossings; near-overlap; periodic shape; four-series identity
gene_expression_recovery,stress,line,4217,ultraviolet_laboratory,Signed recovery after perturbation,Can the renderer preserve zero crossings and six identities when several trajectories converge toward baseline?,six-series load; signed values; zero crossings; convergence; dash-cycle dependence
instrument_calibration,showcase,scatter,5309,registration_ink,Instrument calibration agreement,Can small between-instrument offsets remain visible without obscuring the shared linear relationship?,grouped scatter; small offsets; shared trend; moderate overplotting
dose_response_plate,showcase,scatter,6143,lavender_fog_notebook,Dose-response plate,Can five saturating response families be compared without implying a linear model?,five-series point cloud; nonlinearity; plateau separation; dense upper range
particle_size_relationship,stress,scatter,7041,midnight_transit_signal_slate,Particle size and settling response,Does the figure make heteroscedasticity and one high-leverage observation visible rather than smoothing them away?,heteroscedasticity; uneven spacing; high-leverage point; three series
treatment_replicates,showcase,strip_summary,8119,slipware,Treatment response distributions,Can center and spread be read together without letting the median summary erase the individual observations?,five groups; unequal spread; ordered conditions; median overlay
habitat_class_response,showcase_candidate,strip_summary,15401,slipware,Response across ten habitat classes,"Can Figurestead show ten categorical distributions with varied centers and spreads while keeping the categorical structure, individual observations, summaries, and axis labels readable at useful compact sizes?",ten ordered categories; multi-word category labels; compact-axis density; unequal spread; median overlay
lab_precision,stress,strip_summary,9097,ultraviolet_laboratory,Inter-laboratory precision,Can a point-only distribution figure communicate precision differences when the centers are almost identical?,six point-series identities; similar medians; variance contrast; point-only glyph-cycle stress
paired_seasonal_distributions,showcase,strip_summary,10061,lavender_fog_notebook,Seasonal habitat distributions,Can two semantic series remain comparable inside each categorical group while seasonal shifts remain obvious?,two series within each group; seasonal shift; within-group overlap; median overlay
field_sampling_coverage,showcase,temporal_coverage,11173,deep_observatory_sage_core,"Field sampling coverage, 2020–2024",Can exact visits and missing station-years be shown without visually implying continuous coverage?,five-year span; irregular sparse visits; missing station-years; six ordered sites
migration_monitoring_coverage,stress,temporal_coverage,12239,midnight_transit_signal_slate,Seasonal monitoring windows,Does a coverage renderer make clustered sampling seasons and a station-specific gap visible without suggesting year-round effort?,seasonal clusters; long unsampled intervals; station-specific gap; dense rug marks
reservoir_oxygen_thresholds,showcase,temporal_observations,13331,registration_ink,Sparse reservoir oxygen observations,Can contextual bands aid interpretation of sparse observations without being mistaken for regulatory thresholds or continuous data?,sparse dates; reference bands; threshold crossings; seasonality; explicit provisional status
